std_competency,measure_unit,did_baseline_nov_mean,q3_2025_tool_nov_mean,district_minus_did_mean,note
number_recognition,pct,69.8,64.77272727272727,-5.027272727272731,Mean score comparison (baseline has no clearance data). Size of the gap indicates instrument difference for same-named items.
oral_reading_fluency,cpm,27.1,28.106060606060606,1.006060606060604,Mean score comparison (baseline has no clearance data). Size of the gap indicates instrument difference for same-named items.
place_value_bundles,pct,58.1,38.38383838383839,-19.716161616161614,Mean score comparison (baseline has no clearance data). Size of the gap indicates instrument difference for same-named items.
reading_comprehension,pct,46.6,50.75757575757576,4.157575757575756,Mean score comparison (baseline has no clearance data). Size of the gap indicates instrument difference for same-named items.
word_reading,pct,58.4,77.65151515151516,19.251515151515157,Mean score comparison (baseline has no clearance data). Size of the gap indicates instrument difference for same-named items.
word_writing,pct,36.3,56.43939393939394,20.13939393939394,Mean score comparison (baseline has no clearance data). Size of the gap indicates instrument difference for same-named items.
