view,period_type,period,source_tool,panel_id,index_scope,std_competency,domain,n,stacking_status,reliability_flags,panel_n_competencies,metric,value,n_distinct_scores,band_source
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|numeracy,numeracy,place_value_bundles,numeracy,175.0,stack_with_caveat,crosswalk_caveat,5.0,pct_students_cleared,54.85714285714286,,
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|numeracy,numeracy,place_value_bundles,numeracy,175.0,stack_with_caveat,crosswalk_caveat,5.0,z_within_panel,-0.8913005837660164,,
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|numeracy,numeracy,place_value_bundles,numeracy,175.0,stack_with_caveat,crosswalk_caveat,5.0,percentile_within_panel,40.0,,
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|numeracy,numeracy,place_value_bundles,numeracy,175.0,stack_with_caveat,crosswalk_caveat,5.0,rank_within_panel,4.0,,
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|numeracy,numeracy,subtraction,numeracy,175.0,stack_with_caveat,crosswalk_caveat,5.0,pct_students_cleared,70.85714285714285,,
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|numeracy,numeracy,subtraction,numeracy,175.0,stack_with_caveat,crosswalk_caveat,5.0,z_within_panel,0.4799310835663164,,
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|numeracy,numeracy,subtraction,numeracy,175.0,stack_with_caveat,crosswalk_caveat,5.0,percentile_within_panel,80.0,,
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|numeracy,numeracy,subtraction,numeracy,175.0,stack_with_caveat,crosswalk_caveat,5.0,rank_within_panel,2.0,,
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|all,all,letter_recognition,literacy,175.0,stack,,9.0,pct_students_cleared,84.0,,
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|all,all,letter_recognition,literacy,175.0,stack,,9.0,z_within_panel,1.3487842195262367,,
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|all,all,letter_recognition,literacy,175.0,stack,,9.0,percentile_within_panel,88.88888888888889,,
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|all,all,letter_recognition,literacy,175.0,stack,,9.0,rank_within_panel,2.0,,
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|all,all,sentence_reading,literacy,175.0,stack,perfect_score_required,9.0,pct_students_cleared,42.857142857142854,,
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|all,all,sentence_reading,literacy,175.0,stack,perfect_score_required,9.0,z_within_panel,-1.6546940425115704,,
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|all,all,sentence_reading,literacy,175.0,stack,perfect_score_required,9.0,percentile_within_panel,11.11111111111111,,
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|all,all,sentence_reading,literacy,175.0,stack,perfect_score_required,9.0,rank_within_panel,9.0,,
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|all,all,word_reading,literacy,175.0,stack,,9.0,pct_students_cleared,76.57142857142857,,
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|all,all,word_reading,literacy,175.0,stack,,9.0,z_within_panel,0.8064895333249659,,
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|all,all,word_reading,literacy,175.0,stack,,9.0,percentile_within_panel,77.77777777777779,,
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|all,all,word_reading,literacy,175.0,stack,,9.0,rank_within_panel,3.0,,
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|all,all,word_writing,literacy,175.0,stack,,9.0,pct_students_cleared,60.0,,
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|all,all,word_writing,literacy,175.0,stack,,9.0,z_within_panel,-0.403244766662484,,
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|all,all,word_writing,literacy,175.0,stack,,9.0,percentile_within_panel,44.44444444444444,,
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|all,all,word_writing,literacy,175.0,stack,,9.0,rank_within_panel,6.0,,
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|all,all,addition,numeracy,175.0,stack_with_caveat,crosswalk_caveat,9.0,pct_students_cleared,85.14285714285714,,
